,fluxes
12DGR161tipp,0.0
12PPDRDH,0.0
1P2CBXLCYCL,0.0
1P2CBXLR,0.0
2AGPE120tipp,0.0
2AGPE141tipp,0.0
2AGPE161tipp,0.0
2AGPEAT120,0.0
2AGPEAT141,0.0
2AGPEAT161,0.0
2AGPG120tipp,0.0
2AGPG140tipp,0.0
2AGPG141tipp,0.0
2AGPG161tipp,0.0
2AGPG180tipp,0.0
2AGPG181tipp,0.0
2AGPGAT120,0.0
2AGPGAT140,0.0
2AGPGAT141,0.0
2AGPGAT161,0.0
2AGPGAT180,0.0
2AGPGAT181,0.0
2HH24DDH,0.0
2HH24DDH1,0.0
2MAHMP,0.0
3HBCOAHL,0.0
3HCINNMH,0.0
3MBt2pp,0.0
3MBt4pp,0.0
3MBtex,0.0
3OXCOAT,0.0
3PEPTabcpp,0.0
4ABUTD,0.0
4ABUTabcpp,0.0
4ABZGLUH,0.0
4ABZGLUtex,0.0
4ABZGLUtr,0.0
4H2KPILY,0.0
4HBAt,0.0
4HGLSD,0.0
5DGLCN_Et,0.0
5DGLCNt2rpp,0.0
5DGLCNtex,0.0
5DOAN,0.0
6ATHAtexi,0.0
AABTN,0.0
AACPS2,0.0
AACPS9,0.0
AALDH,0.0
ABG4t2,0.02563409869365717
ABTA,37.158062945396516
ABUTD,0.0
ABUTt2pp,0.0
ABUTt2r,37.15806294539652
ABUTtex,0.0
ACACT1r,0.0
ACACT3r,0.0
ACAC_Et,0.0
ACALDt,16.21431460598717
ACCOAC,0.0
ACGAMPM,0.0
ACGApts,0.0
ACGAptspp,0.0
ACGAtex,0.0
ACGK,0.0
ACGLUtd,0.0
ACHBS,0.0
ACHBS2,0.0
ACKr,0.0
ACLDC,0.0
ACLS,0.0
ACLSa_1,0.0
ACLSb,16.214314605987166
ACLSb_1,0.0
ACOAD20,0.0
ACOAD20f,0.0
ACOAD21f,0.0
ACOAD23f,0.0
ACOAD24f,0.0
ACOAD3f,0.0
ACOADH2,0.0
ACODA,0.0
ACONT,24.00255919832707
ACOTA,0.0
ACP1_FMN,0.0
ACPS,0.0
ACS2,0.0
ACSPHAC100,0.0
ACSPHAC101,0.0
ACSPHAC120,0.0
ACSPHAC121,0.0
ACSPHAC121d6,0.0
ACSPHAC140,0.0
ACSPHAC141d5,0.0
ACSPHAC142,0.0
ACSPHAC160,0.0
ACSPHAC50,0.0
ACSPHAC60,0.0
ACSPHAC70,0.0
ACSPHAC80,0.0
ACSPHAC90,0.0
ACSPHACP100,0.0
ACSPHACP40,0.0
ACSPHACP50,0.0
ACSPHACP60,0.0
ACSPHACP70,0.0
ACSPHACP80,0.0
ACSPHACP90,0.0
ACSPHACT40,0.0
ACSPHACT60,0.0
ACTD,0.0
ACTD2,0.0
ACTD_1,0.0
ACTNabc,0.0
ACTNabc1,0.0
ACYP_2,0.0
ACYSBMNt,0.0
ACt2rpp,0.0
ACt4pp,0.0
ACtex,0.0
ADCL,0.0
ADCS,0.0
ADK1,37.87620087919948
ADK2,0.0
ADKd,0.0
ADNCYC,0.0
ADNUC,0.0
ADPGLC,0.0
ADPRDP_1,0.0
ADPT,0.0038317038406064786
ADSK,0.0
ADSL1r,7.828055995242026
ADSL2r,0.0
ADSS,7.828055995242026
AGDC,0.0
AGM3PApp,0.0
AGM4PCPpp,0.0
AGPR,0.0
AHCYSNS,0.0038317038406064786
AHCi,0.0
AHGDx,0.0
AHMMPS_1,0.0
AHSERL2,0.0
AI2abcpp,0.0
AI2tpp,0.0
AICART,0.0
AIRCr,0.0
AKGDa,0.0
AKGDb,0.0
ALAALAD,0.0
ALAALAabcpp,0.0
ALAALAr,3.8317038406064743
ALAGLNtr,0.0
ALAGLUabcpp,0.0
ALAGLYtr,0.0
ALAHISabcpp,0.0
ALAHIStex,0.0
ALAHIStr,0.0
ALALEUabcpp,0.0
ALALEUt,0.0
ALALEUtex,0.0
ALAR,0.0
ALATA_D,-7.663407681212947
ALATA_L,-27.04588997372876
ALATHRabcpp,0.0
ALATHRtex,0.0
ALATHRtr,0.0
ALATRPabcpp,0.0
ALATRPtex,0.0
ALAabc,0.0
ALAabcpp,0.0
ALAt2r,0.0
ALAt4,0.0
ALAtpp,0.0
ALCD19,-395.2468783402505
ALCD19y,-124.5054304277069
ALCD22_L,0.0
ALCD2ir,0.0
ALCD2x,0.0
ALCD2y,0.0
ALDD1,0.0
ALDD19xr,0.0
ALDD20x,0.0
ALDD20y,0.0
ALDD2x,0.0
ALDD2y,0.0
ALDD3y,0.0
ALKP,0.0
ALLTAMH,0.0
ALPHNH,0.0
ALR2,0.0
ALR4x,0.0
AMALT1,0.0
AMALT2,0.0
AMALT3,75.30953912053266
AMALT4,0.0
AMMQT8,0.0038317038406064786
AMMQT8_2,0.0
AMPEP1,0.0
AMPEP10,0.0
AMPEP11,0.0
AMPEP12,0.0
AMPEP13,0.0
AMPEP14,0.0
AMPEP15,0.0
AMPEP16,0.0
AMPEP17,0.0
AMPEP18,0.0
AMPEP2,0.0
AMPEP3,0.0
AMPEP4,0.0
AMPEP5,0.0
AMPEP6,0.0
AMPEP7,0.0
AMPEP8,0.0
AMPEP9,0.0
AMPMS2,0.0
AMPN,0.0
AMPTASEAH,0.0
AMPTASEAL,0.0
AMPTASEAT,0.0
AMPTASEATRP,0.0
AMPTASECG,0.0
AMPTASEGGLN,0.0
AMPTASEGGLU,0.0
AMPTASEGM,0.0
AMPTASEGS,0.0
AMPTASEHG,0.0
AMPTASEHH,1.81503979225688
AMPTASEPG,0.0
ANHGMtex,0.0
ANPRT,0.0
ANS,0.0
AP4AH,0.0
AP4AS,0.0
APRAUR,0.0
APRTO2,0.0
APSR,0.0
APTNAT,0.0
ARBT6Pt,0.0
ARBTpts,0.0
ARGDr,545.0740086474832
ARGN_1,0.0
ARGORNt7pp,0.0
ARGR,0.0
ARGSL,0.0
ARGSS,0.0
ARGabc,0.0
ARGabcpp,0.0
ARGt5r,556.4078820716899
ARGtex,0.0
ARUH,0.0
ASAD,-3.8317038406064734
ASNN,0.0
ASNS1,0.0
ASNabc,9.236513692973933
ASO3t4pp,0.0
ASO3tex,0.0
ASO3tex_1,0.0
ASO4rt2rpp,0.0
ASO4t4pp,0.0
ASP3H,0.0
ASPCT,0.0
ASPK,3.8317038406064734
ASPO5,0.0
ASPO6,0.08728621348905259
ASPT,0.0
ASPTA,-20.983559742311485
ASPabc,0.0
ASPabcpp,0.0
ASPt2_3pp,0.0
ASPt2r,0.0
ATAH_1,0.0
