model	objective	reaction	flux	status	minimum	maximum
Cstr_15.xml	objective	Growth	34.252233	optimal	34.252233	34.252233
Cstr_15.xml	objective	R_12DGR160tipp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_1P2CBXLCYCL	0.0	optimal	0.0	1000.0
Cstr_15.xml	objective	R_1P2CBXLR	0.0	optimal	0.0	1000.0
Cstr_15.xml	objective	R_2AGPE120tipp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPE141tipp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPE161tipp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPEAT120	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPEAT141	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPEAT161	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPG120tipp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPG140tipp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPG161tipp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPG180tipp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPG181tipp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPGAT120	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPGAT140	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPGAT161	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPGAT180	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2AGPGAT181	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2HH24DDH	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2HH24DDH1	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_2MAHMP	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_3HBCOAHL	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_3HPPPNH	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_3MBt2pp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_3MBt4pp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_3MBtex	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_3OXCOAT	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_3PEPTabcpp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_4ABUTD	0.0	optimal	-1000.0	0.0
Cstr_15.xml	objective	R_4ABUTabcpp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_4ABZGLUH	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_4ABZGLUtex	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_4ABZGLUtr	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_4H2KPILY	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_4HGLSD	0.0	optimal	-1000.0	0.0
Cstr_15.xml	objective	R_4HOXPACMOF	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_4PCP	3.425223	optimal	3.425223	3.425223
Cstr_15.xml	objective	R_4PCPpp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_4PEPTabcpp	3.425223	optimal	3.425223	3.425223
Cstr_15.xml	objective	R_4PEPTtex	3.425223	optimal	3.425223	3.425223
Cstr_15.xml	objective	R_5DGLCN_Et	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_5DGLCNt2rpp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_5DGLCNtex	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_5DOAN	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_AABTN	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_AACPS9	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_AALDH	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_AASAD3	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_AATA	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ABG4t2	0.022915	optimal	0.022915	0.022915
Cstr_15.xml	objective	R_ABTA	23.603747	optimal	8.334699	47.975322
Cstr_15.xml	objective	R_ABTt	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ABUTD	0.0	optimal	0.0	1000.0
Cstr_15.xml	objective	R_ABUTt2pp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ABUTt2r	23.603747	optimal	8.334699	47.975322
Cstr_15.xml	objective	R_ABUTtex	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACACT1r	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACACT3r	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACACT9	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACALDt	0.0	optimal	-33.775887	14.494243
Cstr_15.xml	objective	R_ACCOAC	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACGAMPM	0.0	optimal	0.0	6.850447
Cstr_15.xml	objective	R_ACGApts	0.0	optimal	0.0	6.850447
Cstr_15.xml	objective	R_ACGK	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACGS	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACHBS	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACHBS2	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACKr	0.0	optimal	-1000.0	991.665301
Cstr_15.xml	objective	R_ACLDC	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACLS	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACLS_d	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACLSa_1	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACLSb	1.134025	optimal	0.0	14.494243
Cstr_15.xml	objective	R_ACLSb_1	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACOAD1f	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACOAD3	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACOADH2	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACODA	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACONT	0.0	optimal	0.0	18.031061
Cstr_15.xml	objective	R_ACOTA	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACP1_FMN	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACPS	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC100	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC101	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC120	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC121	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC121d6	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC140	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC141	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC141d5	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC142	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC160	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC50	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC60	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC70	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC80	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHAC90	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHACP100	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHACP40	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHACP50	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHACP60	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHACP70	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHACP80	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHACP90	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHACT40	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACSPHACT60	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACTD	0.0	optimal	0.0	1000.0
Cstr_15.xml	objective	R_ACTD_1	0.0	optimal	0.0	1000.0
Cstr_15.xml	objective	R_ACTNabc	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACTNabc1	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACYP_2	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACYSBMNt	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACt2rpp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACt4pp	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ACtex	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ADCL	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ADCS	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ADK1	33.873438	optimal	-966.126562	33.873438
Cstr_15.xml	objective	R_ADK2	0.0	optimal	0.0	1000.0
Cstr_15.xml	objective	R_ADNCYC	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ADNUC	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ADPGLC	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ADPRDP_1	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ADPT	0.003425	optimal	0.003425	0.003425
Cstr_15.xml	objective	R_ADSK	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ADSL1r	6.997628	optimal	6.997628	6.997628
Cstr_15.xml	objective	R_ADSL2r	0.0	optimal	0.0	0.0
Cstr_15.xml	objective	R_ADSS	6.997628	optimal	6.997628	6.997628
