,Id,Name,Determined Formula,Determined Charge,Previous Formula,Previous Charge,Inferrence Type,Reasoning,Used Databases,Previous Databases,Similarity
0,M_12dgr120_c,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C27H52O5,0,C27H52O5,0,Inferred,unconstrained Target & Adherence,,,Same
1,M_12dgr120_p,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C27H52O5,0,C27H52O5,0,Inferred,unconstrained Target & Adherence,,,Same
2,M_12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,0,C31H60O5,0,Inferred,unconstrained Target & Adherence,,,Same
3,M_12dgr140_p,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,0,C31H60O5,0,Inferred,unconstrained Target & Adherence,,,Same
4,M_12dgr141_c,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,0,C31H56O5,0,Inferred,unconstrained Target & Adherence,,,Same
5,M_12dgr141_p,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,0,C31H56O5,0,Inferred,unconstrained Target & Adherence,,,Same
6,M_12dgr160_c,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,0,C35H68O5,0,Inferred,unconstrained Target & Adherence,,,Same
7,M_12dgr160_e,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,0,C35H68O5,0,Inferred,unconstrained Target & Adherence,,,Same
8,M_12dgr160_p,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,0,C35H68O5,0,Inferred,unconstrained Target & Adherence,,,Same
9,M_12dgr161_c,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C35H64O5,0,C35H64O5,0,Inferred,unconstrained Target & Adherence,,,Same
10,M_12dgr161_p,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",C35H64O5,0,C35H64O5,0,Inferred,unconstrained Target & Adherence,,,Same
11,M_12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,0,C39H76O5,0,Inferred,unconstrained Target & Adherence,,,Same
12,M_12dgr180_e,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,0,C39H76O5,0,Inferred,unconstrained Target & Adherence,,,Same
13,M_12dgr180_p,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,0,C39H76O5,0,Inferred,unconstrained Target & Adherence,,,Same
14,M_12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,0,C39H72O5,0,Inferred,unconstrained Target & Adherence,,,Same
15,M_12dgr181_p,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,0,C39H72O5,0,Inferred,unconstrained Target & Adherence,,,Same
16,M_1ag160_e,1 Acyl sn glycerol  hexadecanoate,C19H38O4,0,C19H38O4,0,Inferred,unconstrained Target & Adherence,,,Same
17,M_1ag180_e,1 Acyl sn glycerol  octadecanoate,C21H42O4,0,C21H42O4,0,Inferred,unconstrained Target & Adherence,,,Same
18,M_1ag181d9_e,1 Acyl sn glycerol  nC181d9,C21H40O4,0,C21H40O4,0,Inferred,unconstrained Target & Adherence,,,Same
19,M_1ag182d9d12_e,1 Acyl sn glycerol  nC182d9d12,C21H38O4,0,C21H38O4,0,Inferred,unconstrained Target & Adherence,,,Same
20,M_25dhpp_c,2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P,C9H14N5O8P,-2,C9H14N5O8P,-2,Inferred,unconstrained Target & Adherence,,,Same
21,M_25drapp_c,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",C9H14N5O8P,-2,C9H14N5O8P,-2,Inferred,unconstrained Target & Adherence,,,Same
22,M_2agpe141_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P,0,C19H38NO7P,0,Inferred,unconstrained Target & Adherence,,,Same
23,M_2agpe141_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P,0,C19H38NO7P,0,Inferred,unconstrained Target & Adherence,,,Same
24,M_2agpe161_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C21H42NO7P,0,C21H42NO7P,0,Inferred,unconstrained Target & Adherence,,,Same
25,M_2agpe161_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C21H42NO7P,0,C21H42NO7P,0,Inferred,unconstrained Target & Adherence,,,Same
26,M_2agpg120_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P,-1,C18H36O9P,-1,Inferred,unconstrained Target & Adherence,,,Same
27,M_2agpg120_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P,-1,C18H36O9P,-1,Inferred,unconstrained Target & Adherence,,,Same
28,M_2agpg141_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),C20H38O9P,-1,C20H38O9P,-1,Inferred,unconstrained Target & Adherence,,,Same
29,M_2agpg141_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),C20H38O9P,-1,C20H38O9P,-1,Inferred,unconstrained Target & Adherence,,,Same
30,M_2agpg161_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),C22H42O9P,-1,C22H42O9P,-1,Inferred,unconstrained Target & Adherence,,,Same
31,M_2agpg161_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),C22H42O9P,-1,C22H42O9P,-1,Inferred,unconstrained Target & Adherence,,,Same
32,M_2agpg181_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P,-1,C24H46O9P,-1,Inferred,unconstrained Target & Adherence,,,Same
33,M_2agpg181_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P,-1,C24H46O9P,-1,Inferred,unconstrained Target & Adherence,,,Same
34,M_2ahhmp_c,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine C7H9N5O2,C7H9N5O2,0,C7H9N5O2,0,Inferred,unconstrained Target & Adherence,,,Same
35,M_2hadnt_c,2 Hydroxylamino 4 6 dinitrotoluene,HNO,-1,HNO,-1,Inferred,unconstrained Target & Adherence,,,Same
36,M_2hetdp_c,2-(alpha-Hydroxyethyl)thiamine diphosphate,C14H21N4O8P2S,-1,C14H21N4O8P2S,-1,Inferred,unconstrained Target & Adherence,,,Same
37,M_2hh24dd_c,2-Hydroxyhepta-2-4-dienedioate,C7H6O5,-2,C7H6O5,-2,Inferred,unconstrained Target & Adherence,,,Same
38,M_2m35mdntha_c,N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline,HN,0,HN,0,Inferred,unconstrained Target & Adherence,,,Same
39,M_2m35mdntha_e,N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline,HN,0,HN,0,Inferred,unconstrained Target & Adherence,,,Same
40,M_35dnta_c,N N bis 3 5 dinitrotolyl  amine,HN,0,HN,0,Inferred,unconstrained Target & Adherence,,,Same
41,M_35dnta_e,N N bis 3 5 dinitrotolyl  amine,HN,0,HN,0,Inferred,unconstrained Target & Adherence,,,Same
42,M_3hdd5coa_c,3-hydroxy-(5Z)-dodecenoyl-CoA,C35H56N7O18P3S,-4,C35H56N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
43,M_3hdd6coa_c,S  3 hydroxy  6Z  dodedecenyl CoA,C33H50N7O18P3S,-4,C33H50N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
44,M_3hdec4coa_c,3 Hydroxy 4Z decenoyl CoA,C31H48N7O18P3S,-4,C31H48N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
45,M_3hhd58coa_c,S  3 hydroxy  5Z 8Z  tetradecedienyl CoA,C35H52N7O18P3S,-4,C35H52N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
46,M_3hhdccoa_c,S  3 hydroxy  9Z  hexadecenyl CoA,C37H60N7O18P3S,-4,C37H60N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
47,M_3hhpcoa_c,3 Hydroxyheptanoyl CoA,C28H44N7O18P3S,-4,C28H44N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
48,M_3hnonacoa_c,3 Hydroxynonanoyl CoA,C30H46N7O18P3S,-4,C30H46N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
49,M_3hpbcoa_c,3 Hydroxyphenylbutanoyl CoA,C31H42N7O18P3S,-4,C31H42N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
50,M_3hpdecacoa_c,3 Hydroxyphenyldecanoyl CoA,C37H48N7O18P3S,-4,C37H48N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
51,M_3hphpcoa_c,3 Hydroxyphenylheptanoyl CoA,C34H44N7O18P3S,-4,C34H44N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
52,M_3hphxacoa_c,3 Hydroxyphenylhexanoyl CoA,C33H44N7O18P3S,-4,C33H44N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
53,M_3hpnonacoa_c,3 Hydroxyphenylnonanoyl CoA,C36H46N7O18P3S,-4,C36H46N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
54,M_3hpoctacoa_c,3 Hydroxyphenyloctanoyl CoA,C35H46N7O18P3S,-4,C35H46N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
55,M_3hpptcoa_c,3 Hydroxyphenylpentanoyl CoA,C32H42N7O18P3S,-4,C32H42N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
56,M_3hptcoa_c,3-Hydroxypentoyl-CoA,C26H40N7O18P3S,-4,C26H40N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
57,M_3htdccoa_c,S  3 hydroxy  7Z  tetradecenyl CoA,C35H56N7O18P3S,-4,C35H56N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
58,M_3odd5coa_c,3 oxo  5Z  tetradecenyl CoA,C35H54N7O18P3S,-4,C35H54N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
59,M_3odd6coa_c,3 oxo  6Z  dodedecenyl CoA,C33H48N7O18P3S,-4,C33H48N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
60,M_3odec4coa_c,3 oxo 4Z decenoyl CoA,C31H46N7O18P3S,-4,C31H46N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
61,M_3ohd58coa_c,3 oxo  5Z 8Z  tetradec dienyl CoA,C35H50N7O18P3S,-4,C35H50N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
62,M_3ohdccoa_c,3 oxo  9Z  hexadecenyl CoA,C37H58N7O18P3S,-4,C37H58N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
63,M_3ohpcoa_c,3 oxoheptanoyl CoA,C28H42N7O18P3S,-4,C28H42N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
64,M_3ononacoa_c,3 Oxononanoyl CoA,C30H44N7O18P3S,-4,C30H44N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
65,M_3opbcoa_c,3 Oxophenylbutanoyl CoA,C31H40N7O18P3S,-4,C31H40N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
66,M_3opdecacoa_c,3 Oxophenyldecanoyl CoA,C37H46N7O18P3S,-4,C37H46N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
67,M_3ophpcoa_c,3 Oxophenylheptanoyl CoA,C34H42N7O18P3S,-4,C34H42N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
68,M_3ophxacoa_c,3 Oxophenylhexanoyl CoA,C33H42N7O18P3S,-4,C33H42N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
69,M_3opnonacoa_c,3 Oxophenylnonanoyl CoA,C36H44N7O18P3S,-4,C36H44N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
70,M_3opoctacoa_c,3 Oxophenyloctanoyl CoA,C35H44N7O18P3S,-4,C35H44N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
71,M_3opptcoa_c,3 Oxophenylpentanoyl CoA,C32H40N7O18P3S,-4,C32H40N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
72,M_3optcoa_c,3-Ocopentanoyl-CoA,C26H38N7O18P3S,-4,C26H38N7O18P3S,-4,Inferred,unconstrained Target & Adherence,,,Same
