model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
./model.xml	obj	R_12DGR120tipp	0.0	optimal	-1.5046787345507988e-13	-1.5046787345507988e-13	1.0
./model.xml	obj	R_12DGR140tipp	0.0	optimal	-1.4757426050402066e-13	-1.4757426050402066e-13	1.0
./model.xml	obj	R_12DGR141tipp	0.0	optimal	-1.5046787345507988e-13	-1.5046787345507988e-13	1.0
./model.xml	obj	R_12DGR160tipp	0.0	optimal	-1.4757426050402066e-13	-1.4757426050402066e-13	1.0
./model.xml	obj	R_12DGR161tipp	0.0	optimal	-1.5046787345507988e-13	-1.5046787345507988e-13	1.0
./model.xml	obj	R_12DGR180tipp	0.0	optimal	-1.4757426050402066e-13	-1.4757426050402066e-13	1.0
./model.xml	obj	R_12DGR181tipp	0.0	optimal	-1.5046787345507988e-13	-1.5046787345507988e-13	1.0
./model.xml	obj	R_1P2CBXLCYCL	0.0	optimal	0.0	922.6827417208316	1.0
./model.xml	obj	R_1P2CBXLR	0.0	optimal	0.0	922.6827417208316	1.0
./model.xml	obj	R_25DKGLCNt2rpp	0.0	optimal	-5.670966963995991e-13	-5.670966963995991e-13	1.0
./model.xml	obj	R_25DKGLCNtex	0.0	optimal	-5.670966963995991e-13	-5.670966963995991e-13	1.0
./model.xml	obj	R_2AGPA161tipp	0.0	optimal	-1.3240652319918277e-13	-1.3240652319918277e-13	1.0
./model.xml	obj	R_2AGPE120tipp	0.0	optimal	-6.606917970684747e-14	-6.606917970684747e-14	1.0
./model.xml	obj	R_2AGPE141tipp	0.0	optimal	-5.2855343765477977e-14	-5.2855343765477977e-14	1.0
./model.xml	obj	R_2AGPE161tipp	0.0	optimal	-4.655991743844318e-14	-4.655991743844318e-14	1.0
./model.xml	obj	R_2AGPEAT120	0.0	optimal	-5.902970420160828e-14	-5.902970420160828e-14	1.0
./model.xml	obj	R_2AGPEAT141	0.0	optimal	-5.902970420160826e-14	-5.902970420160826e-14	1.0
./model.xml	obj	R_2AGPEAT161	0.0	optimal	-4.655991743844318e-14	-4.655991743844318e-14	1.0
./model.xml	obj	R_2AGPG120tipp	0.0	optimal	-5.902970420160826e-14	-5.902970420160826e-14	1.0
./model.xml	obj	R_2AGPG140tipp	0.0	optimal	-5.902970420160825e-14	-5.902970420160825e-14	1.0
./model.xml	obj	R_2AGPG141tipp	0.0	optimal	-5.902970420160826e-14	-5.902970420160826e-14	1.0
./model.xml	obj	R_2AGPG161tipp	0.0	optimal	-4.655991743844318e-14	-4.655991743844318e-14	1.0
./model.xml	obj	R_2AGPG180tipp	0.0	optimal	-5.902970420160826e-14	-5.902970420160826e-14	1.0
./model.xml	obj	R_2AGPG181tipp	0.0	optimal	-5.902970420160826e-14	-5.902970420160826e-14	1.0
./model.xml	obj	R_2AGPGAT120	0.0	optimal	-5.902970420160826e-14	-5.902970420160826e-14	1.0
./model.xml	obj	R_2AGPGAT140	0.0	optimal	-5.902970420160825e-14	-5.902970420160825e-14	1.0
./model.xml	obj	R_2AGPGAT141	0.0	optimal	-5.902970420160826e-14	-5.902970420160826e-14	1.0
./model.xml	obj	R_2AGPGAT161	0.0	optimal	-4.655991743844318e-14	-4.655991743844318e-14	1.0
./model.xml	obj	R_2AGPGAT180	0.0	optimal	-5.902970420160826e-14	-5.902970420160826e-14	1.0
./model.xml	obj	R_2AGPGAT181	0.0	optimal	-5.902970420160826e-14	-5.902970420160826e-14	1.0
./model.xml	obj	R_2DGULRGy	0.0	optimal	-6.319650685113354e-13	-6.319650685113354e-13	1.0
./model.xml	obj	R_2HH24DDH	0.0	optimal	-4.132079294112582e-12	-4.132079294112582e-12	1.0
./model.xml	obj	R_2HH24DDH1	0.0	optimal	-4.132079294112582e-12	-4.132079294112582e-12	1.0
./model.xml	obj	R_2MAHMP	0.0	optimal	-2.951485210080414e-13	-2.951485210080414e-13	1.0
./model.xml	obj	R_2PGLYCt6	0.0	optimal	-9.182398431361284e-13	-9.182398431361284e-13	1.0
./model.xml	obj	R_3HBCOAHL	0.0	optimal	-1.475742605040207e-13	-1.475742605040207e-13	1.0
./model.xml	obj	R_3HCINNMH	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3MBt2pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3MBt4pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3MBtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3OADPCOAT	0.0	optimal	0.0	1.2311384035447285e-14	1.0
./model.xml	obj	R_3OXCOAT	0.0	optimal	0.0	1.2311384035447285e-14	1.0
./model.xml	obj	R_3PEPTabcpp	0.0	optimal	0.0	1.366428338000193e-15	1.0
./model.xml	obj	R_4ABUTD	-373.8035103765124	optimal	-1000.0	0.0	1.0
./model.xml	obj	R_4ABUTabcpp	0.0	optimal	0.0	1.3664283380001932e-14	1.0
./model.xml	obj	R_4ABZGLUH	0.0	optimal	0.0	3.552713678800502e-13	1.0
./model.xml	obj	R_4ABZGLUtex	0.0	optimal	0.0	3.552713678800502e-13	1.0
./model.xml	obj	R_4ABZGLUtr	0.0	optimal	0.0	3.552713678800502e-13	1.0
./model.xml	obj	R_4ABZt	0.0	optimal	1.0958240626640274e-13	33.00364073903094	1.0
./model.xml	obj	R_4CMLCL_kt	0.0	optimal	0.0	5.853183724281215e-14	1.0
./model.xml	obj	R_4H2KPILY	0.0	optimal	0.0	9.094947017729282e-13	1.0
./model.xml	obj	R_4HBAt	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_4HGLSD	0.0	optimal	-1000.0	0.0	1.0
./model.xml	obj	R_4PCP	0.0	optimal	0.0	1.4210854715202007e-14	1.0
./model.xml	obj	R_4PCPpp	0.0	optimal	0.0	1.4210854715202007e-14	1.0
./model.xml	obj	R_4PEPTabcpp	0.0	optimal	0.0	1.4210854715202007e-14	1.0
./model.xml	obj	R_5DGLCN_Et	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_5DGLCNt2rpp	0.0	optimal	0.0	3.5527136788005014e-13	1.0
./model.xml	obj	R_5DGLCNtex	0.0	optimal	0.0	3.5527136788005014e-13	1.0
./model.xml	obj	R_5DOAN	0.0	optimal	0.0	2.9430764203081073e-15	1.0
./model.xml	obj	R_6APAt1	77.20250790470814	optimal	77.20250790470863	77.20250790471093	1.0
./model.xml	obj	R_6ATHAtexi	0.0	optimal	0.0	6.703233356227361e-15	1.0
./model.xml	obj	R_AABTN	0.0	optimal	0.0	1.542807677226949e-17	1.0
./model.xml	obj	R_AACPS4	0.0	optimal	0.0	6.832141690000966e-15	1.0
./model.xml	obj	R_AACPS7	0.0	optimal	0.0	6.8321416900009675e-15	1.0
./model.xml	obj	R_AACPS9	0.0	optimal	0.0	6.8321416900009675e-15	1.0
./model.xml	obj	R_AALDH	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_AASAD3	0.0	optimal	0.0	9.564998366001353e-14	1.0
./model.xml	obj	R_AATA	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_ABG4t2	0.0	optimal	0.0	33.00364073903154	1.0
./model.xml	obj	R_ABTA	1000.0	optimal	1000.0000000000001	1000.0000000000001	1.0
./model.xml	obj	R_ABUTD	373.8035103765124	optimal	0.0	1000.0	1.0
./model.xml	obj	R_ABUTt2pp	0.0	optimal	0.0	2.3322517485909283e-13	1.0
./model.xml	obj	R_ABUTt2r	1000.0	optimal	999.9999999999799	1000.0	1.0
./model.xml	obj	R_ABUTtex	0.0	optimal	-3.770590469724774e-12	-3.770590469724774e-12	1.0
./model.xml	obj	R_ACACT1r	0.0	optimal	-5.4569682106375694e-12	0.0	1.0
./model.xml	obj	R_ACACT3r	0.0	optimal	0.0	2.245198230071722e-30	1.0
./model.xml	obj	R_ACAC_Et	0.0	optimal	-7.79566887233937e-13	0.0	1.0
./model.xml	obj	R_ACALDt	-1.5564558935777335	optimal	-35.92118744823074	22.29476489002309	1.0
./model.xml	obj	R_ACCOAC	0.0	optimal	-1.4175026066039508e-13	-1.4175026066039508e-13	1.0
./model.xml	obj	R_ACGAMK	0.0	optimal	-8.107495627232941e-13	-1.5596837191204563e-14	1.0
./model.xml	obj	R_ACGAMPM	0.0	optimal	-1.6214991254465883e-12	10.5372244625108	1.0
./model.xml	obj	R_ACGApts	0.0	optimal	0.0	10.537224462510803	1.0
./model.xml	obj	R_ACGK	0.0	optimal	-1.4097141307434896e-13	-1.4097141307434896e-13	1.0
./model.xml	obj	R_ACGS	0.0	optimal	-1.4097141307434896e-13	-1.4097141307434896e-13	1.0
./model.xml	obj	R_ACHBS	0.0	optimal	-1.9735997830408865e-12	-1.9735997830408865e-12	1.0
./model.xml	obj	R_ACHBS2	0.0	optimal	-1.9735997830408865e-12	-1.9735997830408865e-12	1.0
./model.xml	obj	R_ACKr	-10.537224462510839	optimal	-1000.0	5.2686122312558155	1.0
