model	objective	reaction	status	value
./model.xml	obj	R_12DGR161tipp	optimal	38.3170384060647
./model.xml	obj	R_12PPDRDH	optimal	38.31703840603816
./model.xml	obj	R_1P2CBXLCYCL	optimal	38.31703840606479
./model.xml	obj	R_1P2CBXLR	optimal	38.3170384060647
./model.xml	obj	R_2AGPE120tipp	optimal	38.317038406064746
./model.xml	obj	R_2AGPE141tipp	optimal	38.31703840606475
./model.xml	obj	R_2AGPE161tipp	optimal	38.317038406064725
./model.xml	obj	R_2AGPEAT120	optimal	38.3170384060647
./model.xml	obj	R_2AGPEAT141	optimal	38.31703840606474
./model.xml	obj	R_2AGPEAT161	optimal	38.31703840606464
./model.xml	obj	R_2AGPG120tipp	optimal	38.31703840622977
./model.xml	obj	R_2AGPG140tipp	optimal	38.31703840606619
./model.xml	obj	R_2AGPG141tipp	optimal	38.31703840606474
./model.xml	obj	R_2AGPG161tipp	optimal	38.31703840635562
./model.xml	obj	R_2AGPG180tipp	optimal	38.317038406064746
./model.xml	obj	R_2AGPG181tipp	optimal	38.31703840606473
./model.xml	obj	R_2AGPGAT120	optimal	38.31703840606479
./model.xml	obj	R_2AGPGAT140	optimal	38.31703840606475
./model.xml	obj	R_2AGPGAT141	optimal	38.317038406064654
./model.xml	obj	R_2AGPGAT161	optimal	38.31703840606471
./model.xml	obj	R_2AGPGAT180	optimal	38.317038406229166
./model.xml	obj	R_2AGPGAT181	optimal	38.317038406064775
./model.xml	obj	R_2HH24DDH	optimal	38.31703840606469
./model.xml	obj	R_2HH24DDH1	optimal	38.31703840606477
./model.xml	obj	R_2MAHMP	optimal	38.317038406064775
./model.xml	obj	R_3HBCOAHL	optimal	38.317038406064775
./model.xml	obj	R_3HCINNMH	optimal	38.317038406065684
./model.xml	obj	R_3MBt2pp	optimal	38.31703840606478
./model.xml	obj	R_3MBt4pp	optimal	38.31703840606465
./model.xml	obj	R_3MBtex	optimal	38.31703840606415
./model.xml	obj	R_3OXCOAT	optimal	38.31703840606478
./model.xml	obj	R_3PEPTabcpp	optimal	38.31703840606479
./model.xml	obj	R_4ABUTD	optimal	38.31703840606474
./model.xml	obj	R_4ABUTabcpp	optimal	38.317038406064746
./model.xml	obj	R_4ABZGLUH	optimal	38.31703840606473
./model.xml	obj	R_4ABZGLUtex	optimal	38.31703840606463
./model.xml	obj	R_4ABZGLUtr	optimal	38.31703840606469
./model.xml	obj	R_4H2KPILY	optimal	38.31703840606477
./model.xml	obj	R_4HBAt	optimal	38.31703840606463
./model.xml	obj	R_4HGLSD	optimal	38.317038406064704
./model.xml	obj	R_5DGLCN_Et	optimal	38.31703840606466
./model.xml	obj	R_5DGLCNt2rpp	optimal	38.31703840606476
./model.xml	obj	R_5DGLCNtex	optimal	38.317038406064675
./model.xml	obj	R_5DOAN	optimal	38.31703840606472
./model.xml	obj	R_6ATHAtexi	optimal	38.31703840607652
./model.xml	obj	R_AABTN	optimal	38.31703840606479
./model.xml	obj	R_AACPS2	optimal	38.31703840606527
./model.xml	obj	R_AACPS9	optimal	38.31703840606464
./model.xml	obj	R_AALDH	optimal	38.31703840606475
./model.xml	obj	R_ABG4t2	optimal	38.31693876053822
./model.xml	obj	R_ABTA	optimal	38.2659680205609
./model.xml	obj	R_ABUTD	optimal	38.31703840606477
./model.xml	obj	R_ABUTt2pp	optimal	38.317038406064746
./model.xml	obj	R_ABUTt2r	optimal	38.26596802056098
./model.xml	obj	R_ABUTtex	optimal	38.31703840606466
./model.xml	obj	R_ACACT1r	optimal	38.31703840606472
./model.xml	obj	R_ACACT3r	optimal	38.317038406064626
./model.xml	obj	R_ACAC_Et	optimal	38.31703840606471
./model.xml	obj	R_ACALDt	optimal	38.317038406064725
./model.xml	obj	R_ACCOAC	optimal	38.31703840603816
./model.xml	obj	R_ACGAMPM	optimal	38.31703840606465
./model.xml	obj	R_ACGApts	optimal	38.31703840606475
./model.xml	obj	R_ACGAptspp	optimal	38.31703840606832
./model.xml	obj	R_ACGAtex	optimal	38.31703840606472
./model.xml	obj	R_ACGK	optimal	38.31703840606463
./model.xml	obj	R_ACGLUtd	optimal	38.317038406064725
./model.xml	obj	R_ACHBS	optimal	38.31703840606472
./model.xml	obj	R_ACHBS2	optimal	38.31703840606463
./model.xml	obj	R_ACKr	optimal	38.31703840606474
./model.xml	obj	R_ACLDC	optimal	38.31703840606475
./model.xml	obj	R_ACLS	optimal	38.317038406064746
./model.xml	obj	R_ACLSa_1	optimal	38.317038406045775
./model.xml	obj	R_ACLSb	optimal	38.25411305001025
./model.xml	obj	R_ACLSb_1	optimal	38.31703840606478
./model.xml	obj	R_ACOAD20	optimal	38.31703840606477
./model.xml	obj	R_ACOAD20f	optimal	38.31703840606483
./model.xml	obj	R_ACOAD21f	optimal	38.317038406064775
./model.xml	obj	R_ACOAD23f	optimal	38.31703840606473
./model.xml	obj	R_ACOAD24f	optimal	38.317038406064725
./model.xml	obj	R_ACOAD3f	optimal	38.31703840606464
./model.xml	obj	R_ACOADH2	optimal	38.31703840606477
